id;category;name;pack;price;img;showOnMain
;";11;14; ";Фал капроновый в бабине Ø6, 100м;1;7;img/nitki/fal-1.png;1
;";11;14; ";Фал капроновый в бабине Ø6, 200м;1;7;img/nitki/fal-1.png;1
;";11;14; ";Фал капроновый в бабине Ø8, 100м;1;9,7;img/nitki/fal-1.png;1
;";11;14; ";Фал капроновый в бабине Ø8, 200м;1;9,7;img/nitki/fal-1.png;1
;";11;14; ";Фал капроновый в бабине Ø10, 100м;1;17,3;img/nitki/fal-1.png;1
;";11;14; ";Фал капроновый в бабине Ø10, 200м;1;17,3;img/nitki/fal-1.png;1
;";11;14; ";Фал капроновый в бабине Ø12, 100м, Эль;1;;img/nitki/fal-1.png;1
;";11;14; ";Фал капроновый в бабине Ø12, 200м, Эль;1;25;img/nitki/fal-1.png;1
;";11;14; ";Фал капроновый тип 1, Ø6;20;178;img/nitki/fal-2.png;1
;";11;14; ";Фал капроновый тип 2, Ø8;10;240;img/nitki/fal-2.png;1
;";11;14; ";Фал капроновый тип 3, Ø10;20;180;img/nitki/fal-2.png;1
;;;;;;
;";11;13; ";Нить на катушке белая, черная;230;41;img/nitki/nit-1.png;0
;";11;13; ";Нить обувная №375 черный;100;10;img/nitki/nit-2.png;0
;";11;13; ";Нить рыболовная кукуруза 100гр;150;41;img/nitki/nit-3.png;0
;;;;;;
;";11;15;";Шнур в бабине Ø5, 100м, цветной;1;2,2;img/nitki/shnur-1.png;0
;";11;15;";Шнур в бабине Ø5, 200м, цветной;1;2,2;img/nitki/shnur-1.png;0
;";11;15;";Шнур в бабине Ø6, 100м, цветной;1;2,7;img/nitki/shnur-1.png;0
;";11;15;";Шнур в бабине Ø6, 200м, цветной;1;2,7;img/nitki/shnur-1.png;0
;";11;15;";Шнур в бабине Ø6, 500м, цветной;1;2,7;img/nitki/shnur-1.png;0
;";11;15;";Шнур в бабине Ø8, 100м, цветной;1;4,5;img/nitki/shnur-1.png;0
;";11;15;";Шнур в бабине Ø8, 200м, цветной;1;4,5;img/nitki/shnur-1.png;0
;";11;15;";Шнур в бабине Ø10, 100м, цветной;1;7;img/nitki/shnur-1.png;0
;";11;15;";Шнур в бабине Ø10, 200м, цветной;1;7;img/nitki/shnur-1.png;0
;";11;15;";Шнур в бабине Ø12, 100м, цветной;1;9,3;img/nitki/shnur-1.png;0
;";11;15;";Шнур в бабине Ø12, 200м, цветной;1;9,3;img/nitki/shnur-1.png;0
;";11;15;";Шнур в бабине Ø15, 100м, цветной;1;13;img/nitki/shnur-2.png;0
;";11;15;";Шнур в бабине Ø15, 200м, цветной;1;13;img/nitki/shnur-2.png;0
;";11;15;";Шнур в бабине Ø20, 100м, цветной;1;24;img/nitki/shnur-2.png;0
;";11;15;";Шнур хозяйственный Ø2, 20м, белый;200;10,3;img/nitki/shnur-3.png;0
;";11;15;";Шнур хозяйственный Ø2, 20м, цветной;200;10,5;img/nitki/shnur-3.png;0
;";11;15;";Шнур хозяйственный Ø3, 100м, белый;20;57;img/nitki/shnur-3.png;0
;";11;15;";Шнур хозяйственный Ø3, 100м, цветной;20;65;img/nitki/shnur-3.png;0
;";11;15;";Шнур хозяйственный Ø3, 20м, белый;200;12;img/nitki/shnur-3.png;0
;";11;15;";Шнур хозяйственный Ø3, 20м, цветной;200;14,5;img/nitki/shnur-3.png;0
;";11;15;";Шнур хозяйственный Ø4, 100м, белый;20;90;img/nitki/shnur-3.png;0
;";11;15;";Шнур хозяйственный Ø4, 100м, цветной;20;100;img/nitki/shnur-3.png;0
;";11;15;";Шнур хозяйственный Ø4, 20м, белый;100;18,5;img/nitki/shnur-3.png;0
